number,description,parent_code,level
0202010.09,Overboekingen bedrijfsgebouwen,,5
0202010.10,Overige mutaties bedrijfsgebouwen,,5
0202015.01,Beginbalans (overname eindsaldo vorig jaar) bedrijfsgebouwen,,5
0202015.04,Investeringen bedrijfsgebouwen,,5
0202015.05,Verwervingen via fusies en overnames bedrijfsgebouwen,,5
0202015.06,Desinvesteringen bedrijfsgebouwen,,5
0202015.07,Afstotingen bedrijfsgebouwen,,5
0202015.08,Omrekeningsverschillen bedrijfsgebouwen,,5
0202015.09,Overboekingen bedrijfsgebouwen,,5
0202015.10,Overige mutaties bedrijfsgebouwen,,5
0202020.01,Beginbalans (overname eindsaldo vorig jaar) bedrijfsgebouwen,,5
0202020.02,Afschrijvingen bedrijfsgebouwen,,5
0202020.03,Afschrijving op desinvesteringen bedrijfsgebouwen,,5
0202020.04,Bijzondere waardeverminderingen bedrijfsgebouwen,,5
0202020.05,Terugneming van bijzondere waardeverminderingen bedrijfsgebouwen,,5
0202020.06,Herclassificatie afschrijvingen bedrijfsgebouwen,,5
0202020.07,Overige mutaties afschrijvingen bedrijfsgebouwen,,5
0202030.01,Beginbalans (overname eindsaldo vorig jaar) bedrijfsgebouwen,,5
0202030.02,Herwaarderingen bedrijfsgebouwen,,5
0202030.03,Afschrijving herwaarderingen bedrijfsgebouwen,,5
0202030.04,Desinvestering herwaarderingen bedrijfsgebouwen,,5
0202030.05,Herclassificatie herwaarderingen bedrijfsgebouwen,,5
0202030.06,Overige mutaties herwaarderingen bedrijfsgebouwen,,5
0203010.01,Beginbalans (overname eindsaldo vorig jaar) verbouwingen,,5
0203010.02,Investeringen verbouwingen,,5
0203010.05,Verwervingen via fusies en overnames verbouwingen,,5
0203010.06,Desinvesteringen verbouwingen,,5
0203010.07,Afstotingen verbouwingen,,5
0203010.11,Herclassificatie verbouwingen,,5
0203010.08,Omrekeningsverschillen verbouwingen,,5
0203010.09,Overboekingen verbouwingen,,5
0203010.10,Overige mutaties verbouwingen,,5
